round_epochs,val_loss,val_acc,val_precision,val_recall,val_f1_score1,loss,acc,precision,recall,f1_score1,output_dim,batch_size,epochs,dropout,activation
3,0.6780180552280466,0.6533422910970932,0.6392402815806774,0.588820288174898,0.6113919721660416,0.44357854476278463,0.7967895191648732,0.7864632796664558,0.7634265917438339,0.7713370993883576,128,128,3,0.4,<function tanh at 0x0000012BDEBA1EA0>
2,0.6216247185268857,0.6659388643485169,0.6579681405053669,0.5905249273572787,0.6206009828447695,0.5743722946026674,0.7073135617964899,0.6911838859740163,0.6515680522524655,0.6670082668869564,128,128,2,0.4,<function tanh at 0x0000012BDEBA1EA0>
2,0.6246890901598228,0.6718172655835983,0.669782203157596,0.5838156677469696,0.6221141431169058,0.5431517100698008,0.7302764179450512,0.7193485141795889,0.6726054139724905,0.6915573221340393,128,128,2,0.4,<function relu at 0x0000012BDEBA1E18>
2,0.637312178528465,0.6640913671481357,0.7076546848721259,0.4783382008930241,0.5655304889851943,0.5583971327177701,0.720558594874748,0.7078359981383641,0.6628219093124496,0.6777734386622305,32,64,2,0.6,<function relu at 0x0000012BDEBA1E18>
2,0.6272337024629137,0.6771918038293584,0.690940166905217,0.5585962980435044,0.6130021178245865,0.5518478663912294,0.7236539015260581,0.7140266708911683,0.6595697238196085,0.6802832048666295,32,64,2,0.2,<function tanh at 0x0000012BDEBA1EA0>
3,0.6166584819885641,0.6691299965207834,0.6631936599313712,0.5919996336237632,0.623833402736018,0.5512939998748629,0.7252375468066814,0.7056048433855497,0.6801352886209013,0.6898411855277499,32,128,3,0.2,<function relu at 0x0000012BDEBA1E18>
2,0.6398372041686573,0.6355391333557272,0.6003954294427033,0.6430155366789305,0.617596165942473,0.5362492146905272,0.7327958537287648,0.7231789990045343,0.6802174818814402,0.6942887264509006,100,64,2,0.2,<function tanh at 0x0000012BDEBA1EA0>
3,0.7632204636776251,0.6422573060127645,0.6357823677178314,0.5396749097947751,0.579618727235855,0.40775640803131014,0.8157932623092428,0.8117575852767281,0.7769464923365467,0.7902114938460816,128,64,3,0.2,<function tanh at 0x0000012BDEBA1EA0>
2,0.6209870779878708,0.6692979509573396,0.6886046120973894,0.5306627528556129,0.5943523236557586,0.5566592979698884,0.7208465303771955,0.7112401185652175,0.6572233403480743,0.6763832349616583,32,64,2,0.4,<function tanh at 0x0000012BDEBA1EA0>
3,0.7326542986372312,0.6457843466577091,0.6470854778116807,0.5314683094095135,0.5785323656522311,0.4265083892181357,0.8056435358479701,0.7986024919175428,0.7684956178725573,0.7788701356916101,100,64,3,0.2,<function relu at 0x0000012BDEBA1E18>
3,0.6576446191072064,0.6466241182398388,0.6273603000455068,0.5910678026777888,0.6046547157715582,0.4706344926456811,0.7795853728764757,0.7719758305877764,0.7398670983527327,0.7499989403313599,32,64,3,0.2,<function relu at 0x0000012BDEBA1E18>
2,0.6102355038475021,0.6689620423845529,0.6738405101724547,0.5666599253259491,0.6137070440589321,0.5751124671409633,0.7072415779723649,0.6957735062469298,0.6426078433644486,0.6628151723743343,32,128,2,0.2,<function relu at 0x0000012BDEBA1E18>
3,0.6385735417317335,0.6672824990400982,0.6608738950486547,0.5908616932598905,0.6223445504673544,0.5053236626802999,0.758278145678202,0.7450606290078321,0.7153930476650256,0.7268623642917329,32,128,3,0.4,<function tanh at 0x0000012BDEBA1EA0>
3,0.664725238258982,0.6556936513268391,0.6255268174447908,0.6416572760446463,0.6301662639198905,0.4725171903214261,0.781528937517996,0.7732790738747506,0.7379657733673807,0.750020605461281,32,64,3,0.6,<function tanh at 0x0000012BDEBA1EA0>
3,0.6575947820359442,0.6121934830721969,0.5944966905302036,0.5336052556545654,0.5602071569155718,0.5970591732482899,0.7005470774718124,0.692588917089408,0.6178458781466167,0.6505365782569404,32,128,3,0.6,<function relu at 0x0000012BDEBA1E18>
2,0.617812390190505,0.6691299965207834,0.6516484257996302,0.621738382782518,0.6348099765218581,0.5586385586026282,0.7183990786922037,0.7068936177951748,0.6521593575480346,0.6753540082483103,100,128,2,0.4,<function relu at 0x0000012BDEBA1E18>
2,0.6318119486426602,0.660900235136043,0.7089311845117581,0.46186320029692157,0.5535011288300432,0.548051485304286,0.7286927728188886,0.7190869657031542,0.6672738216948242,0.6866374172328221,128,64,2,0.6,<function tanh at 0x0000012BDEBA1EA0>
2,0.625495712309425,0.6578770574403762,0.6582523563142827,0.5562972977612296,0.5981757016961992,0.5400907493893914,0.7332277569824359,0.7246393657643686,0.6720478720737746,0.6916744606727624,100,64,2,0.4,<function tanh at 0x0000012BDEBA1EA0>
3,0.6442592754874967,0.660060463433783,0.6543724360104011,0.5753782900099711,0.6106016730597487,0.4960974439691131,0.7650446299857171,0.7575762646877213,0.7178668350264485,0.7327729712430524,32,128,3,0.6,<function tanh at 0x0000012BDEBA1EA0>
3,0.7164362405905758,0.6377225394692644,0.6176255639063098,0.5813968102324117,0.5942332085483539,0.4226823512549501,0.8068672617333718,0.8000514147915279,0.7731782274496098,0.7817675730456477,128,64,3,0.4,<function tanh at 0x0000012BDEBA1EA0>
2,0.6315924205914575,0.6555256970104132,0.6309856002187425,0.6237046126755524,0.6236272119298493,0.5349794632071142,0.7355312410020155,0.7252580914276325,0.6773765882771605,0.6951139845767077,128,64,2,0.2,<function tanh at 0x0000012BDEBA1EA0>
3,0.6886302011302144,0.6508229760303568,0.6446098293239413,0.5603776593355673,0.5976052275631385,0.4489289117827389,0.7943420674283944,0.7871099986434155,0.7570914324580027,0.7688639336280373,100,128,3,0.6,<function tanh at 0x0000012BDEBA1EA0>
2,0.6180235642813419,0.6634195497623017,0.6612672226157491,0.568948988090396,0.6099895935431798,0.5479227310293798,0.7288367405186255,0.7208614268530833,0.6700996363537133,0.6890904081338014,100,128,2,0.2,<function relu at 0x0000012BDEBA1E18>
3,0.680009273982985,0.6479677529914851,0.607572821290212,0.6864242469419518,0.6436209441192365,0.46043334912059286,0.7828246471417112,0.772157386026841,0.7454217629270666,0.755930793189261,100,128,3,0.4,<function tanh at 0x0000012BDEBA1EA0>
3,0.7189275249763748,0.6446086664427276,0.6369764986637257,0.552989552555206,0.5877646451673934,0.4304504996327066,0.802044342067377,0.7973046644668293,0.7613017374385237,0.7741004503875104,100,64,3,0.4,<function tanh at 0x0000012BDEBA1EA0>
3,0.685037330769035,0.6388982196842459,0.6214805435805982,0.5743178670983767,0.592830769439892,0.45073635256190897,0.7911747768499856,0.7858927954935457,0.7499165051682964,0.7619097141515203,128,64,3,0.6,<function relu at 0x0000012BDEBA1E18>
3,0.7171143358251093,0.6462882096069869,0.6237466813415179,0.5993781209913003,0.607097325887222,0.4174700474364937,0.8123380362798733,0.8039166321165445,0.7788889168525958,0.7871619270405987,100,64,3,0.2,<function tanh at 0x0000012BDEBA1EA0>
2,0.6215968119405363,0.6605643265031911,0.6399019162527538,0.6236774196631163,0.6284493544696761,0.5438473158736686,0.7327238698531529,0.7239693473266176,0.6796316179252996,0.6943284084877225,100,64,2,0.6,<function tanh at 0x0000012BDEBA1EA0>
2,0.624611026254884,0.6615720524017468,0.6604268663795274,0.5645447719165211,0.60411084238859,0.5407272393477605,0.73106824071408,0.7232637517980152,0.6740802213433769,0.6906163628802257,128,64,2,0.6,<function relu at 0x0000012BDEBA1E18>
3,0.7098228256494998,0.6526704738313894,0.6457574823017204,0.566650092541711,0.6017064577106825,0.4569113401113104,0.790742873630639,0.7833326688219209,0.7501535885896251,0.7635152319512174,100,128,3,0.4,<function relu at 0x0000012BDEBA1E18>
3,0.7096848561934348,0.6400738998992274,0.6165823339014435,0.6024923881989499,0.6049688648048327,0.4231619271976681,0.8075871004894903,0.8015969981558206,0.7731114184859847,0.7820933918392765,128,64,3,0.4,<function relu at 0x0000012BDEBA1E18>
3,0.7110035345984418,0.6481357068073681,0.6240347890514314,0.6164197661070204,0.6185925507409323,0.44715174755444625,0.7910308092360602,0.7815251555320615,0.7545896553183165,0.76469558434496,100,128,3,0.2,<function tanh at 0x0000012BDEBA1EA0>
3,0.6892361736233538,0.6446086663225973,0.617465657318123,0.6224843146699285,0.6186644202476786,0.4405468670909287,0.7960696804602414,0.7848021827580226,0.7653699918676102,0.7719378167087051,128,128,3,0.2,<function tanh at 0x0000012BDEBA1EA0>
2,0.6063787141901797,0.6765199866036982,0.6724626619943165,0.5962096697278259,0.6306182617183336,0.5735866666663939,0.7079614166598344,0.6906541317847219,0.6545252946897024,0.6683812418761117,32,128,2,0.2,<function tanh at 0x0000012BDEBA1EA0>
3,0.7167507737204257,0.6367148134505785,0.6359681373560313,0.5163843014274703,0.5681195729804752,0.4297799635458638,0.8003167291041791,0.7904805847900318,0.7674090893166298,0.7759034472654163,128,128,3,0.2,<function relu at 0x0000012BDEBA1E18>
3,0.66936338035941,0.6504870675176352,0.6211209077742182,0.6382655270915725,0.6258700533845419,0.47097209476099694,0.7834725021595162,0.7788663592834209,0.7374200311202739,0.7524430624971189,32,64,3,0.6,<function relu at 0x0000012BDEBA1E18>
